"time","geoid","hosp_occup_mean","hosp_occup_median","hosp_occup_q25","hosp_occup_q75","hosp_admit_mean","hosp_admit_median","hosp_admit_q25","hosp_admit_q75","icu_occup_mean","icu_occup_median","icu_occup_q25","icu_occup_q75","icu_admit_mean","icu_admit_median","icu_admit_q25","icu_admit_q75","new_infect_mean","new_infect_median","new_infect_q25","new_infect_q75","new_deaths_mean","new_deaths_median","new_deaths_q25","new_deaths_q75"
"2020-09-08",6053,3328.966,2005,123.75,5660.75,270.485,136.5,9,444.25,410.894,255,16.75,683.25,48.127,27,2,80,1177.004,536.5,35.75,1843.75,31.999,18,1,60
"2020-09-08",6055,1385.786,841.5,63.5,2472.75,111.847,59,4,185.5,203.275,122.5,8.75,370.25,23.684,12,1,41,400.696,188.5,16,661,14.556,9,1,27
"2020-09-08",6057,1231.156,780,86.75,2147.25,100.421,51,6.75,169.25,217.776,142.5,14,383,25.517,14,1,43,295.776,130,18,499,14.344,9,1,25
"2020-09-08",6059,26131.528,15484.5,855.5,45232.5,2097.857,1062.5,53,3483.25,3415.678,2002.5,108.75,6067.5,397.574,225,10.75,681,8338.472,3754,198,13188.75,256.629,153.5,10.75,489.5
"2020-09-08",6061,3671.415,2367,284,6634.25,299.023,158,21,514,547.77,354.5,39.75,997.25,64.344,37.5,4,108,1065.119,481,68,1773.75,39.659,25,2,71.25
"2020-09-08",6063,265.035,157,20.75,442.25,22.179,10,2,36,47.822,29,4,81.25,5.743,3,0,9,64.62,27,5,110.25,3.094,2,0,5
"2020-09-08",6065,18873.508,11762,801,32689.5,1525.268,789,57,2519.25,2405.896,1522.5,110.25,4218.5,280.004,160.5,11,470.25,6360.698,2953,224.5,10319.5,187.97,116,9,347
"2020-09-08",6067,12760.947,8306,923.25,23157,1038.166,540.5,66.25,1779.25,1627.623,1045,117,3016.5,189.104,109,13,320,4340.87,2020,262.75,7220.5,125.473,81.5,7.75,228.25
"2020-09-08",6069,425.071,240,12,746,34.503,16,1,56,52.305,30,1,90.25,6.091,3,0,10,149.662,69,3,246,3.953,2,0,7
"2020-09-08",6071,15744.527,9465.5,632.25,27281.75,1269.525,651,43.5,2069,1828.317,1135.5,73.75,3243.25,212.727,121.5,8,358.25,5835.851,2602,198.5,9329.75,145.801,88,7,273.75
"2020-09-08",6073,29731.711,18759,2493.25,53830,2406.282,1268,192,3988,3766.916,2424,303.5,6728,439.008,255,35.75,784,10026.286,4660.5,835.75,16005.75,290.968,198,20,555.25
"2020-09-08",6075,7346.105,4461,226.5,12865.25,595.595,316,14,969,987.425,581.5,30.75,1707.75,115.018,68,3,190.25,2231.149,1038.5,47.5,3616,70.824,40.5,3,135
"2020-09-08",6077,5559.257,3517.5,240,9897.5,452.252,237,17.75,757.5,674.87,429,30.75,1216,79.366,47.5,3,134.25,2017.614,932,64.5,3288.25,53.807,33,3,102
"2020-09-08",6079,3028.134,1793,282,5488.5,245.688,116.5,24,432,446.07,269.5,36.5,823,52.455,28,4,91,881.593,386.5,95.75,1509.75,32.224,22,2,60
"2020-09-08",6081,6421.237,3837,172.5,11366.25,520.162,274,11,844,879.384,511,25.75,1522.75,103.24,57.5,3,170.25,1967.685,894,34,3203,63.915,38,2.75,117.25
"2020-09-08",6083,4026.178,2374.5,321.75,7402,327.139,159,29,564.75,525.362,310.5,41,961,61.395,34.5,5,111,1359.935,584,128.75,2207.75,41.185,27,2,75
"2020-09-08",6085,14214.849,8636.5,374.5,25515.25,1152.969,588.5,25,1910,1786.135,1067,49,3120.75,209.109,117,4.75,351,4796.977,2258,86.25,7861.25,133.385,68,5,252
"2020-09-08",6087,2222.809,1227.5,65.5,3851.25,179.792,92,4,289.25,295.693,166,8,526,34.429,18,1,59,708.602,326.5,14,1154,22.301,12,1,42.25
"2020-09-08",6089,1978.81,1242,181,3435.5,162.825,86,15.75,257.25,302.936,192.5,26.75,534.25,35.616,21,3,59,571.502,256.5,51.75,891.25,21.989,13,1,40
"2020-09-08",6091,43.461,25,3,73,3.607,2,0,6,8.21,5,0,14,0.997,0,0,2,9.918,4,0,15.25,0.483,0,0,1
"2020-09-08",6093,618.755,382.5,68,1112,52.284,27,6,91.5,103.963,67,10,185.25,12.375,7,1,21,163.118,75,19,274.25,7.073,4,0,12
"2020-09-08",6095,3783.099,2311.5,161.25,6610.5,306.665,165,10,495,505.539,301.5,20.75,927.5,59.081,33,2,100,1198.987,558.5,33,1996.75,38.048,24,2,68
"2020-09-08",6097,5054.147,3028.5,261,9020.5,410.478,211,17.75,661,745.719,461,38.75,1310.75,87.465,49,4,151,1451.117,671.5,60.5,2237.25,53.274,34,3,98
"2020-09-08",6099,4270.298,2704.5,218.5,7496.25,347.408,173.5,14.75,584.75,522.355,335.5,25,915.25,60.6,35,3,107,1540.391,712.5,60.75,2541,41.368,26,2,76
"2020-09-08",6101,865.44,528,58.75,1552.5,71.187,35.5,5,122.5,115.315,72.5,8,203.25,13.664,7,1,24,289.59,123.5,19,479.25,8.685,5,0,15
"2020-09-08",6103,674.53,413.5,56.25,1163,56.223,27,4,93,99.311,65,7,174,11.718,6,1,20,203.737,84,18,346.25,7.186,4,0,12
"2020-09-08",6105,203.572,121,25.75,349.5,16.884,8,2,27,36.351,22,3.75,64,4.213,2,0,7,49.385,23,7,77.25,2.404,1,0,4
"2020-09-08",6107,3840.994,2461.5,386.75,6938.75,312.715,157.5,34,544,439.111,293,40.75,811,51.188,30,5,89,1529.747,701.5,185.25,2674,36.181,24,2.75,66.25
