ICUBedCapacity,ICUBedsInUse,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,cumulativeNegativeTests,cumulativePositiveTests,currentExposed,currentInfected,currentSusceptible,date,hospitalBedCapacity,hospitalBedsRequired,ventilatorCapacity,ventilatorsInUse
3231,23361,,,142724,33593885,,,258856,1040471,5659461,2020-08-19,82447,55861,7873,10382
3231,22266,,,145264,33693834,,,230620,937887,5587748,2020-08-20,82447,52493,7873,9758
3231,21190,,,147665,33782711,,,205498,844484,5523993,2020-08-21,82447,49242,7873,9153
3231,20140,,,149932,33861954,,,183074,759600,5467175,2020-08-22,82447,46122,7873,8570
3231,19118,,,152068,33932585,,,163067,682615,5416551,2020-08-23,82447,43137,7873,8010
3231,18127,,,154079,33995436,,,145254,613001,5371513,2020-08-24,82447,40292,7873,7473
3231,17170,,,155969,34051522,,,129361,550016,5331319,2020-08-25,82447,37591,7873,6962
3231,16249,,,157743,34101319,,,115261,493296,5295623,2020-08-26,82447,35033,7873,6476
3231,15365,,,159408,34145863,,,102662,442022,5263677,2020-08-27,82447,32617,7873,6015
3231,14518,,,160966,34185233,,,91536,396111,5235433,2020-08-28,82447,30343,7873,5580
3231,13709,,,162425,34220354,,,81614,354805,5210235,2020-08-29,82447,28206,7873,5170
3231,12938,,,163790,34251765,,,72737,317630,5187701,2020-08-30,82447,26202,7873,4785
3231,12204,,,165066,34279790,,,64809,284268,5167603,2020-08-31,82447,24327,7873,4424
3231,11506,,,166259,34304790,,,57738,254339,5149674,2020-09-01,82447,22575,7873,4086
3231,10843,,,167379,34327419,,,51356,227111,5133427,2020-09-02,82447,20932,7873,3769
3231,10217,,,168414,34346941,,,45878,203347,5119384,2020-09-03,82447,19414,7873,3475
3231,9623,,,169384,34364572,,,40949,181782,5106681,2020-09-04,82447,17997,7873,3200
3231,9062,,,170290,34380373,,,36538,162393,5095291,2020-09-05,82447,16678,7873,2945
3231,8532,,,171135,34394470,,,32597,145069,5085135,2020-09-06,82447,15452,7873,2707
3231,8031,,,171923,34407048,,,29079,129586,5076076,2020-09-07,82447,14315,7873,2487
3231,7559,,,172657,34418270,,,25942,115742,5067991,2020-09-08,82447,13261,7873,2283
3231,7114,,,173342,34428295,,,23142,103349,5060765,2020-09-09,82447,12283,7873,2094
3231,6695,,,173979,34437230,,,20651,92286,5054322,2020-09-10,82447,11379,7873,1920
3231,6301,,,174573,34445171,,,18438,82438,5048594,2020-09-11,82447,10543,7873,1759
3231,5930,,,175128,34452324,,,16446,73565,5043433,2020-09-12,82447,9767,7873,1611
3231,5581,,,175643,34458651,,,14686,65709,5038866,2020-09-13,82447,9053,7873,1474
3231,5254,,,176123,34464282,,,13120,58713,5034800,2020-09-14,82447,8393,7873,1348
3231,4945,,,176571,34469332,,,11717,52441,5031153,2020-09-15,82447,7782,7873,1233
